Participant,Experimental_Group,recruitment_platform,Effects_Perception
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.666666667
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.666666667
12,Not Disclosed,Prolific,4.666666667
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.666666667
12,Not Disclosed,Prolific,3
12,Not Disclosed,Prolific,4.333333333
12,Not Disclosed,Prolific,4.333333333
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.666666667
12,Not Disclosed,Prolific,4.666666667
12,Not Disclosed,Prolific,3.666666667
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.333333333
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4
12,Not Disclosed,Prolific,4
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.333333333
12,Not Disclosed,Prolific,5
12,Not Disclosed,Prolific,4.333333333
13,Disclosed,Prolific,5
13,Disclosed,Prolific,4.666666667
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,3.666666667
13,Disclosed,Prolific,5
13,Disclosed,Prolific,4
13,Disclosed,Prolific,5
13,Disclosed,Prolific,3.666666667
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,3.333333333
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
