Experimental_Group,Participant,Ranking_AI1,Ranking_AI2,Ranking_AI3,Ranking_AI4,Ranking_AI5,Ranking_AI6,Ranking_AI7,Ranking_AI8,Ranking_AI9,Ranking_AI10,Ranking_AI11,Ranking_AI12,Ranking_AI13,Ranking_AI14,Ranking_AI15,Ranking_Human1,Ranking_Human2,Ranking_Human3,Ranking_Human4,Ranking_Human5,Ranking_Human6,Ranking_Human7,Ranking_Human8,Ranking_Human9,Ranking_Human10,Ranking_Human11,Ranking_Human12,Ranking_Human13,Ranking_Human14,Ranking_Human15,Dis_AI1,Dis_AI2,Dis_AI3,Dis_AI4,Dis_AI5,Dis_AI6,Dis_AI7,Dis_AI8,Dis_AI9,Dis_AI10,Dis_AI11,Dis_AI12,Dis_AI13,Dis_AI14,Dis_AI15,Dis_Hum1,Dis_Hum2,Dis_Hum3,Dis_Hum4,Dis_Hum5,Dis_Hum6,Dis_Hum7,Dis_Hum8,Dis_Hum9,Dis_Hum10,Dis_Hum11,Dis_Hum12,Dis_Hum13,Dis_Hum14,Dis_Hum15,Con_AI1,Con_AI2,Con_AI3,Con_AI4,Con_AI5,Con_AI6,Con_AI7,Con_AI8,Con_AI9,Con_AI10,Con_AI11,Con_AI12,Con_AI13,Con_AI14,Con_AI15,Con_Hum1,Con_Hum2,Con_Hum3,Con_Hum4,Con_Hum5,Con_Hum6,Con_Hum7,Con_Hum8,Con_Hum9,Con_Hum10,Con_Hum11,Con_Hum12,Con_Hum13,Con_Hum14,Con_Hum15,Unp_AI1,Unp_AI2,Unp_AI3,Unp_AI4,Unp_AI5,Unp_AI6,Unp_AI7,Unp_AI8,Unp_AI9,Unp_AI10,Unp_AI11,Unp_AI12,Unp_AI13,Unp_AI14,Unp_AI15,Unp_Hum1,Unp_Hum2,Unp_Hum3,Unp_Hum4,Unp_Hum5,Unp_Hum6,Unp_Hum7,Unp_Hum8,Unp_Hum9,Unp_Hum10,Unp_Hum11,Unp_Hum12,Unp_Hum13,Unp_Hum14,Unp_Hum15,Lapp_AI1,Lapp_AI2,Lapp_AI3,Lapp_AI4,Lapp_AI5,Lapp_AI6,Lapp_AI7,Lapp_AI8,Lapp_AI9,Lapp_AI10,Lapp_AI11,Lapp_AI12,Lapp_AI13,Lapp_AI14,Lapp_AI15,Lapp_Hum1,Lapp_Hum2,Lapp_Hum3,Lapp_Hum4,Lapp_Hum5,Lapp_Hum6,Lapp_Hum7,Lapp_Hum8,Lapp_Hum9,Lapp_Hum10,Lapp_Hum11,Lapp_Hum12,Lapp_Hum13,Lapp_Hum14,Lapp_Hum15,Age,Sex,Ethnicity,Source
Not Disclosed,106,22,4,2,25,24,17,20,23,28,16,27,3,8,18,9,6,19,1,26,12,11,13,14,10,21,15,29,5,30,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,Female,White,sona
Disclosed,107,20,14,9,4,10,1,3,25,8,18,21,7,15,2,24,19,26,16,6,30,11,17,29,13,23,22,28,5,27,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,2,4,4,4,4,3,4,4,3,3,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3,3,4,19,Female,White,sona
Disclosed,108,25,15,14,28,21,9,10,16,18,1,2,29,24,13,11,20,4,27,12,23,3,5,26,30,17,7,22,6,19,8,5,4,4,5,5,5,5,4,5,4,5,4,4,4,5,4,4,4,5,5,5,4,4,5,5,4,5,4,5,4,4,5,4,5,5,5,5,5,5,4,5,3,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Male,Asian,sona
Not Disclosed,109,9,18,4,13,24,23,15,3,22,26,28,29,7,2,1,21,8,12,17,11,27,30,16,5,20,25,6,10,19,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,19,Female,White,sona
Not Disclosed,110,27,29,16,14,4,2,8,24,12,11,10,22,28,20,3,30,7,1,25,15,18,6,23,21,13,26,19,17,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,5,5,5,4,4,5,5,4,5,3,5,4,5,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,Female,White,sona
Not Disclosed,111,10,21,5,4,12,2,6,27,1,23,14,30,28,11,16,25,7,29,15,24,20,9,17,19,3,18,13,26,8,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,5,4,5,3,5,4,5,2,3,3,2,2,4,1,5,3,4,5,3,3,5,4,4,2,5,4,4,3,3,5,5,5,5,5,5,5,4,3,4,3,3,4,4,3,5,5,3,5,5,3,5,3,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Female,White,sona
Disclosed,112,6,3,25,10,8,13,15,4,28,29,26,11,12,14,9,7,5,19,16,23,30,1,2,24,17,21,20,22,18,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,Female,White,sona
Not Disclosed,113,23,5,6,10,4,21,25,13,1,20,7,3,9,29,26,15,16,30,22,12,17,28,14,2,18,27,24,11,19,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,5,5,5,5,5,5,4,4,2,4,2,4,4,4,2,5,4,4,3,4,5,5,4,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,3,3,3,5,4,4,4,4,5,5,5,5,4,5,4, ,Female,White,sona
Disclosed,114,21,16,20,15,13,4,19,14,1,23,2,7,25,26,22,30,12,10,18,3,11,29,9,17,6,8,5,24,27,28,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,3,4,5,5,3,4,4,4,5,5,5,4,4,5,4,5,5,5,5,4,4,5,3,4,3,4,4,5,4,4,3,4,4,4,2,4,4,4,4,4,3,3,4,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,4,5,5,5,5,5,4,4,4,4,5,5,4,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,4,4,4,4,5,5,4,4,4,4,20,Female,White,sona
Not Disclosed,115,2,19,9,30,1,24,5,15,16,14,23,11,21,7,8,12,10,27,13,29,25,22,6,18,3,20,26,28,17,4,5,4,4,5,4,5,5,2,4,4,4,4,2,5,4,4,2,1,5,4,4,1,1,1,4,1,2,1,2,1,1,2,1,5,2,4,4,4,1,2,1,5,2,5,5,1,1,1,4,2,4,4,2,5,1,4,5,4,2,2,5,2,2,2,2,3,2,4,2,1,4,4,5,4,2,5,4,4,5,4,5,2,1,5,5,1,4,4,1,1,2,5,2,2,3,5,4,2,3,4,5,2,1,4,1,1,4,4,4,4,4,1,2,5,4,2,5,4,5,2,19,Male,White,sona
Disclosed,116,15,20,28,2,23,21,1,14,7,5,6,25,4,17,19,26,18,10,22,27,3,9,29,13,24,12,16,30,8,11,5,4,4,5,4,4,4,5,5,5,5,2,4,3,5,3,3,2,5,5,5,2,4,3,4,4,5,4,5,4,5,3,2,5,5,5,5,5,5,3,4,5,3,4,3,4,4,1,4,5,5,1,5,2,4,3,4,5,5,3,5,2,4,5,5,3,5,5,5,3,5,3,2,5,4,5,5,5,5,4,5,3,4,3,5,3,4,4,4,4,4,4,1,5,4,5,2,5,5,2,5,1,2,4,4,4,2,3,5,2,4,1,5,2,5,4,5,1,2,2,21,Male,Other,sona
Not Disclosed,117,9,12,13,20,26,27,8,30,3,22,21,23,29,24,10,14,18,17,5,16,28,1,6,19,4,2,15,7,25,11,1,3,3,4,4,3,5,4,5,4,3,1,3,3,3,2,5,3,4,3,4,4,4,3,5,5,3,3,5,3,1,4,3,3,5,5,4,5,5,4,4,3,3,4,3,1,4,2,4,3,4,5,5,2,5,5,4,1,5,3,4,3,3,4,3,3,4,5,4,3,3,3,3,2,3,1,3,5,5,3,3,3,5,2,5,5,3,2,5,3,1,3,3,3,4,5,4,5,4,3,4,4,2,2,5,2,2,5,3,1,3,5,2,4,5,5,3,3,5,3,21,Male,Asian,sona
Disclosed,118,4,21,11,26,2,10,3,12,23,16,5,20,17,1,18,27,14,30,19,9,7,15,25,6,28,24,13,8,29,22,4,4,4,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,5,5,4,4,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,4,2,2,4,4,5,5,4,4,3,5,2,2,3,3,3,4,2,5,4,3,4,3,4,5,4,4,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,White,sona
Not Disclosed,119,16,10,4,1,8,26,22,15,6,27,7,25,24,21,19,20,12,30,2,11,9,14,17,29,3,18,5,13,28,23,5,3,3,5,5,5,5,5,5,5,5,2,3,5,4,2,4,3,5,4,4,3,4,5,5,5,5,2,3,3,5,2,3,5,5,5,5,5,5,5,5,3,4,5,5,2,5,2,5,5,5,2,5,5,5,5,5,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,5,3,2,5,5,5,4,5,5,5,5,5,2,5,2,21,Other,Black,sona
Not Disclosed,120,24,15,30,23,27,17,8,19,20,21,6,4,9,22,14,25,7,18,11,3,26,28,10,16,13,5,2,12,1,29,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,4,4,5,3,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,3,5,4,5,2,4,4,4,3,4,4,5,4,3,5,3,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,3,5,3,3,4,4,3,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,5,4,19,Male,White,sona
Disclosed,121,16,2,6,28,14,24,15,5,8,27,23,19,10,30,29,21,17,1,13,18,22,11,26,3,4,20,9,25,7,12,3,5,4,5,4,4,4,3,4,3,3,2,3,5,3,2,4,1,4,3,3,4,4,3,4,5,5,1,5,3,5,3,4,5,5,5,5,4,5,4,3,4,3,4,4,3,4,4,5,5,5,5,3,4,3,5,5,3,5,4,4,2,4,5,3,4,5,4,4,2,4,2,3,3,3,2,3,3,4,2,1,4,3,2,3,5,5,1,4,4,3,3,4,5,3,4,4,4,4,4,3,3,4,3,3,3,4,5,5,3,3,4,5,4,3,5,5,3,4,5,21,Female,White,sona
Not Disclosed,122,15,23,12,27,13,18,5,4,17,20,22,6,8,24,19,30,21,25,3,26,2,7,10,29,9,28,14,16,1,11,4,3,3,4,3,5,4,4,4,5,3,3,4,4,4,4,5,4,5,2,5,4,1,3,4,3,3,2,3,4,5,4,3,4,4,4,4,5,3,3,4,5,4,4,4,1,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,1,3,3,1,3,5,4,4,5,4,4,3,4,4,4,1,5,4,4,4,4,4,3,2,3,1,3,1,5,2,19,Female,White,sona
Not Disclosed,123,30,6,15,5,1,2,12,25,19,28,8,26,29,3,20,10,14,7,17,16,27,23,22,24,18,4,13,11,21,9,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5,2,18,Female,Asian,sona
Disclosed,124,25,14,22,3,26,23,15,11,6,16,2,8,21,12,24,27,29,7,9,17,18,10,13,20,5,4,19,28,1,30,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,19,Female,White,sona
Not Disclosed,125,19,4,17,20,12,6,14,25,21,7,26,5,13,9,3,2,15,1,18,10,8,29,11,16,24,27,28,23,30,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,2,2,2,4,4,2,4,2,4,5,4,4,4,4,1,4,2,3,4,3,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,4,5,5,3,2,3,3,2,5,2,4,2,4,4,3,4,4,5,1,4,4,2,4,3,1,1,4,24,Female,White,sona
Disclosed,126,12,20,5,1,14,2,7,26,22,8,4,25,27,18,11,9,10,30,21,3,13,28,16,6,24,19,17,23,15,29,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,5,4,2,5,5,5,5,5,5,5,5,3,4,5,5,4,5,3,5,5,5,5,5,4,5,4,5,2,5,5,5,4,2,3,4,4,4,4,2,4,4,2,4,4,2,4,2,5,4,3,3,2,4,4,4,2,4,3,5,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,5,4,2,4,3,4,3,3,4,4,4,21,Female,Other,sona
Disclosed,127,29,23,5,16,7,14,3,10,2,26,8,30,24,21,25,22,9,20,15,6,28,19,18,4,1,13,12,11,17,27,2,3,4,4,3,5,5,4,5,1,4,1,1,2,2,1,5,4,4,5,4,3,4,5,5,2,4,4,3,1,3,1,4,4,5,5,5,4,5,2,4,1,2,2,1,1,4,1,4,5,4,3,5,5,5,3,4,3,4,1,1,1,1,4,5,5,5,5,5,1,4,2,1,2,1,3,5,2,5,3,3,4,4,5,5,5,5,4,5,1,3,3,4,5,5,5,5,4,5,1,3,1,3,3,3,1,5,2,4,5,4,3,3,5,5,3,4,4,3,1,25,Female,White,sona
Not Disclosed,128,20,5,25,13,24,22,10,17,9,26,8,23,29,19,27,18,4,11,21,15,14,2,16,12,1,7,6,28,3,30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,Other,White,sona
Disclosed,129,12,7,30,21,24,5,10,28,23,29,17,13,3,6,16,11,27,18,25,15,4,8,26,1,2,20,22,9,19,14,3,3,3,3,3,4,5,4,3,3,5,3,3,3,3,4,5,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,5,4,4,4,4,4,4,2,5,4,3,3,4,5,4,4,5,4,3,4,3,4,2,4,2,3,4,4,4,3,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,2,3,3,2,3,3,4,2,4,3,2,4,4,4,2,4,4,4,4,2,4,5,4,21,Male,Mixed,sona
Not Disclosed,130,3,7,1,8,14,17,15,20,28,21,6,10,29,19,4,11,25,26,12,22,5,16,24,2,9,30,27,18,13,23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,4,4,5,3,5,3,4,4,5,4,3,4,5,4,5,5,4,5,4,5,5,5,5,5,3,5,5,3,4,5,5,1,4,5,5,5,5,1,5,5,2,2,5,5,5,5,5,5,5,4,3,3,3,3,4,4,4,4,2,2,4,2,4,4,4,3,3,5,4,5,2,4,4,3,4,5,1,4,2,4,20,Male,White,sona
Disclosed,131,7,6,2,14,11,1,10,27,24,18,21,30,9,23,4,5,26,17,13,3,25,22,20,28,8,16,15,29,12,19,5,5,3,5,4,5,5,4,4,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,5,3,5,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,5,5,4,4,4,5,4,5,4,4,4,4,5,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,3,5,3,3,4,3,3,3,4,4,4,3,4,3,5,3,3,4,3,4,4,3,4,4,4,4,3,5,5,4,3,5,4,5,4,4,4,5,4,3,4,4,4,3,5,4,18,Female,White,sona
Not Disclosed,132,10,23,5,6,18,7,26,13,4,28,24,27,2,11,22,21,14,30,25,1,8,29,12,19,16,17,20,15,3,9,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,Female,Black,sona
Disclosed,133,10,3,1,15,20,17,23,29,26,5,6,25,14,8,27,24,18,19,4,16,9,2,30,11,7,22,21,28,13,12,4,4,4,5,4,5,4,4,4,5,5,5,4,4,4,5,4,4,4,5,5,5,4,5,4,5,5,5,4,4,4,3,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,4,5,5,4,5,5,4,4,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,4,5,4,5,5,4,4,4,4,5,5,4,5,5,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,4,4,5,5,5,4,4,5,4,19,Male,White,sona
Not Disclosed,134,24,5,15,1,16,23,12,3,20,18,28,30,21,26,6,27,13,11,22,17,7,2,29,9,19,25,4,8,14,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Female,White,sona
Not Disclosed,135,22,10,24,8,23,30,29,16,3,5,18,27,2,20,14,28,17,25,6,1,9,13,7,21,15,11,19,26,4,12,3,5,3,5,5,4,5,5,5,4,5,2,3,5,5,4,4,4,5,5,5,5,3,3,5,5,5,3,5,3,5,5,3,5,5,4,5,5,5,5,4,5,5,4,5,4,3,3,5,5,5,5,5,3,5,5,5,3,5,3,2,2,4,5,4,5,5,5,5,5,5,2,4,4,4,4,5,4,5,4,4,4,5,3,5,5,5,2,5,3,5,4,5,5,4,5,5,5,5,5,5,3,4,4,5,4,3,5,5,4,5,4,5,3,5,5,4,3,5,3,19,Male,White,sona
Disclosed,136,9,24,7,19,18,2,25,15,11,10,29,23,5,21,27,3,16,4,12,28,30,20,26,1,22,8,6,14,13,17,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,4,4,5,4,5,5,4,5,5,5,5,4,4,5,5,4,4,4,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,4,5,5,5,5,5,4,4,5,4,5,4,5,5,3,4,5,5,20,Male,White,sona
Disclosed,137,14,1,10,5,2,26,15,13,19,12,17,28,9,20,16,6,25,30,27,7,4,11,29,24,23,22,3,18,21,8,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,1,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,5,4,4,4,5,4,5,3,5,5,4,5,5,4,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,4,4,4,4,4,5,5,5,1,4,5,4,5,1,5,4,20,Female,White,sona
Disclosed,138,28,7,30,23,26,25,18,16,24,9,3,6,10,14,21,8,19,27,17,20,22,29,13,4,12,2,5,11,1,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,19,Female,Black,sona
Not Disclosed,139,5,19,6,4,7,13,14,24,17,28,29,30,12,8,22,25,23,15,3,20,27,21,26,16,11,9,2,18,1,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,Male,White,sona
Not Disclosed,140,16,27,29,26,15,24,3,13,7,20,18,12,10,22,21,11,17,30,5,9,25,19,23,2,4,6,14,28,1,8,4,2,5,4,4,2,4,4,5,3,4,2,4,3,2,3,4,1,5,4,1,5,4,5,5,5,5,3,5,3,5,4,3,3,4,3,5,4,5,3,4,1,2,2,5,4,4,2,4,3,4,4,3,5,5,4,5,3,5,4,2,2,4,3,3,3,4,5,5,4,4,2,4,2,2,4,5,2,5,2,4,3,3,5,5,5,5,3,5,3,4,2,5,5,4,3,5,4,5,4,4,1,1,3,2,4,5,1,3,3,1,5,4,5,4,5,5,2,5,3,19,Female,White,sona
Disclosed,141,20,22,9,17,27,19,6,7,3,18,13,4,8,30,29,24,15,16,28,5,10,11,2,26,14,12,23,21,1,25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,Female,White,sona
Disclosed,142,9,24,27,8,13,1,22,15,10,29,2,30,17,16,14,25,3,20,11,28,26,18,19,21,4,7,6,23,5,12,5,4,4,5,5,5,5,5,5,5,5,3,5,4,5,4,5,4,5,5,5,5,5,5,5,2,5,4,5,5,4,3,3,4,5,5,4,4,5,4,5,2,2,2,5,4,4,2,5,4,4,5,4,4,5,3,4,2,5,4,5,4,4,5,5,5,5,5,5,5,5,2,5,4,4,5,5,4,5,4,5,5,5,3,5,4,5,2,5,4,5,4,5,5,5,5,5,4,5,4,5,2,5,3,4,3,5,4,5,4,5,5,5,4,5,4,5,2,5,2,19,Female,White,sona
