"Experimental_Group","Participant","Top5_Messages","Message1","Message2","Message3","Message4","Message5","Dis_AI1","Dis_AI2","Dis_AI3","Dis_AI4","Dis_AI5","Dis_AI6","Dis_AI7","Dis_AI8","Dis_AI9","Dis_AI10","Dis_AI11","Dis_AI12","Dis_AI13","Dis_AI14","Dis_AI15","Dis_Hum1","Dis_Hum2","Dis_Hum3","Dis_Hum4","Dis_Hum5","Dis_Hum6","Dis_Hum7","Dis_Hum8","Dis_Hum9","Dis_Hum10","Dis_Hum11","Dis_Hum12","Dis_Hum13","Dis_Hum14","Dis_Hum15","Con_AI1","Con_AI2","Con_AI3","Con_AI4","Con_AI5","Con_AI6","Con_AI7","Con_AI8","Con_AI9","Con_AI10","Con_AI11","Con_AI12","Con_AI13","Con_AI14","Con_AI15","Con_Hum1","Con_Hum2","Con_Hum3","Con_Hum4","Con_Hum5","Con_Hum6","Con_Hum7","Con_Hum8","Con_Hum9","Con_Hum10","Con_Hum11","Con_Hum12","Con_Hum13","Con_Hum14","Con_Hum15","Unp_AI1","Unp_AI2","Unp_AI3","Unp_AI4","Unp_AI5","Unp_AI6","Unp_AI7","Unp_AI8","Unp_AI9","Unp_AI10","Unp_AI11","Unp_AI12","Unp_AI13","Unp_AI14","Unp_AI15","Unp_Hum1","Unp_Hum2","Unp_Hum3","Unp_Hum4","Unp_Hum5","Unp_Hum6","Unp_Hum7","Unp_Hum8","Unp_Hum9","Unp_Hum10","Unp_Hum11","Unp_Hum12","Unp_Hum13","Unp_Hum14","Unp_Hum15","Per_AI1","Per_AI2","Per_AI3","Per_AI4","Per_AI5","Per_AI6","Per_AI7","Per_AI8","Per_AI9","Per_AI10","Per_AI11","Per_AI12","Per_AI13","Per_AI14","Per_AI15","Per_AI16","Per_AI17","Per_AI18","Per_AI19","Per_AI20","Vape_Exp1","Vape_Exp3","Vape_Exp2","Age","Sex","Ethnicity","Source"
"Not Disclosed",137,"7,11,13,24,29","7","11","13","24","29","3","3","2","5","4","5","4","3","5","4","5","2","5","4","2","2","5","3","4","5","3","4","4","3","5","3","5","1","4","2","5","3","2","5","5","5","5","4","5","3","4","1","2","5","4","3","2","2","5","4","4","3","3","4","5","4","4","2","5","4","5","2","2","5","4","4","5","5","5","5","5","2","3","4","2","4","5","4","5","4","5","5","3","2","5","4","3","3","5","3","3","5","2","2","4","3","5","1","2","4","4","5","4","5","1","5","4","5","1","4","2",NA,NA,"19","Female","Asian","sona"
"Disclosed",138,"4,7,18,19,25","4","7","18","19","25","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","3","4","3","3","4","3","3","3","4","3","3","3","3","4","2","4","4","4","2","3","2","3","3","4","3","2","2","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","1","4","5","2","5","2","2","4","5","5","3","3","1","4","5","1","5","2","5","5","1","30","6","22","Male","White","sona"
"Disclosed",139,"5,6,11,13,18","5","6","11","13","18","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","5","2","4","3","3","4","4","3","3","4","2","4","4","2","4","2","2","4","2","3","5","2",NA,NA,"20","Female","White","sona"
"Not Disclosed",140,"1,4,7,11,26","1","4","7","11","26","5","5","4","5","5","4","5","5","5","4","5","5","5","4","4","5","4","4","4","5","4","5","4","4","4","4","5","5","4","5","5","5","5","4","4","5","4","4","4","5","4","4","4","5","5","4","5","5","4","4","5","4","5","4","5","4","5","5","5","4","5","5","4","5","5","4","5","5","4","4","5","4","5","5","4","4","5","4","5","4","5","5","5","5","4","4","5","5","5","4","4","4","2","2","4","3","4","1","2","2","4","5","4","4","2","4","4","4","4","2","1","3","2","18","Male","White","sona"
"Disclosed",141,"11,13,14,20,32","11","13","14","20","32","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","5","4","3","3","3","5","3","4","3","4","4","5","3","2","4","5","4","4","4","5","4","3","5","4","3","3","3","3","4","3","3","3","3","4","3","4","4","4","3","3","4","3","3","4","3","3","3","4","5","4","4","4","4","4","4","4","4","4","5","3","4","4","4","4","4","3","4","4","4","4","3","5","4","3","5","3","3","1","3","2","3","5","1","4","1","4","4","3","1","3","1","4","6","21","Male","Other","sona"
"Not Disclosed",142,"9,11,13,28,31","9","11","13","28","31","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","5","4","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","4","5","5","5","5","5","5","5","5","1","4","3","2","5","4","2","4","4","5","3","2","2","4","4","1","3","1","2","4","2",NA,NA,"19","Female","Other","sona"
"Not Disclosed",143,"6,11,26,30,23","6","11","26","30","23","2","2","1","4","3","3","4","3","4","3","4","3","2","1","3","3","3","5","4","3","4","4","4","3","4","3","4","2","4","3","4","4","2","4","4","4","4","4","4","3","4","2","4","4","4","3","4","4","4","4","4","4","4","3","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","3","3","4","4","4","4","4","5","3","4","4","4","4","4","5","4","1","4","5","4","5","2","4","3","4","4","4","4","3","4","4","2","3","4","4","1","1","30","6","21","Male","White","sona"
"Disclosed",144,"9,22,25,26,31","9","22","25","26","31","4","4","4","4","4","5","4","4","4","4","4","4","4","3","4","3","4","5","4","4","4","5","4","4","4","4","4","4","4","4","4","4","3","4","4","4","5","4","4","5","4","3","4","4","4","3","3","4","4","4","4","5","4","4","4","4","4","3","3","4","4","4","4","4","4","3","4","4","4","4","4","4","3","4","4","4","3","4","5","5","4","4","4","4","4","4","4","4","3","4","3","4","4","2","4","2","2","3","2","5","4","4","2","4","4","2","4","1","4","3","2",NA,NA,"18","Other","White","sona"
"Not Disclosed",145,"4,7,13,14,23","4","7","13","14","23","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","3","4","3","3","4","2","4","4","4","3","2","2","4","5","2","1","3","3","4","2",NA,NA,"26","Prefer not to say","Prefer not to say","sona"
"Disclosed",146,"1,5,7,15,19","1","5","7","15","19","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","4","4","5","3","4","2","4","4","4","4","2","5","3","2","3","4","4","4","2",NA,NA,"23","Male","White","sona"
"Disclosed",147,"4,20,22,29,23","4","20","22","29","23","4","5","1","4","2","5","5","3","5","1","3","1","4","2","4","5","5","4","4","5","3","3","4","3","4","3","4","5","5","4","5","4","1","4","5","5","5","5","5","5","5","1","4","1","5","5","4","4","4","5","5","5","3","4","5","5","5","4","5","4","4","4","1","4","5","4","5","4","4","4","3","1","4","2","5","5","5","5","5","4","4","5","4","3","5","5","4","1","5","5","3","1","2","2","4","2","3","2","3","3","4","4","4","4","2","4","3","4","4","3","1","30","6","20","Male","White","sona"
"Not Disclosed",148,"6,28,29,30,31","6","28","29","30","31","4","4","4","4","4","3","4","4","4","4","4","3","4","3","3","2","3","3","4","4","4","3","4","4","4","4","4","2","4","4","4","3","4","4","3","4","4","4","4","4","4","3","3","4","3","2","4","4","3","2","4","3","3","4","4","3","4","2","4","3","4","4","5","4","3","4","4","4","5","4","4","2","3","4","3","3","3","3","3","4","3","3","2","3","3","4","4","3","4","4","2","4","5","3","4","4","3","3","2","4","4","3","3","5","4","2","5","3","4","4","1","0","6","22","Female","White","sona"
"Disclosed",149,"13,29,30,31,23","13","29","30","31","23","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","5","5","5","5","5","5","4","5","3","4","5","4","4","4","3","5","4","5","5","5","3","5","4","5","3","5","4","4","3","3","4","4","4","4","5","5","4","4","3","3","4","4","5","5","4","5","4","5","4","5","4","5","5","5","3","5","5","3","3","3","3","5","3","3","2","3","4","3","4","3","4","3","3","3","3","2","3","1","1","5","21","Female","White","sona"
"Not Disclosed",150,"9,18,27,29,23","9","18","27","29","23","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","3","3","4","3","3","2","3","3","4","4","3","3","2","3","4","3","2","2","2",NA,NA,"19","Female","White","sona"
"Disclosed",151,"6,9,11,29,23","6","9","11","29","23","4","2","3","5","4","5","5","4","5","4","4","2","4","2","4","2","4","4","5","4","4","4","4","3","5","3","5","2","5","5","5","2","1","5","4","5","5","5","5","5","5","1","1","5","2","2","1","1","5","5","5","5","5","1","5","5","5","1","5","5","4","2","1","2","2","5","5","4","5","5","5","4","1","4","2","3","4","4","5","5","5","4","4","1","4","5","4","2","5","3","1","4","4","2","5","4","4","4","2","2","4","4","2","5","3","2","2","4","4","2","1","0","2","21","Female","Asian","sona"
"Not Disclosed",152,"7,9,35,24,31","7","9","35","24","31","3","4","2","5","4","4","5","5","5","5","5","2","4","1","4","4","4","4","4","4","5","3","4","2","4","4","4","4","5","2","4","4","4","4","5","5","5","5","5","4","4","4","4","2","5","4","2","4","4","5","5","3","5","5","5","5","5","1","5","4","5","5","4","4","5","4","5","5","5","5","4","4","4","4","4","4","2","4","4","4","5","3","4","4","5","4","4","3","4","2","2","4","3","4","5","3","4","2","2","3","4","4","3","4","2","3","2","4","4","2","1","0","2","20","Male","White","sona"
"Disclosed",153,"5,6,14,17,27","5","6","14","17","27","3","3","3","2","3","5","3","3","2","3","4","3","4","2","3","4","4","4","1","4","3","3","3","3","4","2","3","3","5","3","5","3","3","5","4","4","3","3","3","3","2","4","2","4","2","4","3","3","4","3","3","4","2","3","4","4","2","2","3","4","3","3","3","3","4","2","3","4","4","4","3","4","3","2","3","4","2","3","4","3","3","3","3","3","2","4","4","3","2","4","4","2","3","4","2","4","4","3","3","4","2","2","4","3","4","4","4","3","4","3","2",NA,NA,"18","Female","White","sona"
"Disclosed",154,"4,19,28,29,31","4","19","28","29","31","4","4","4","5","5","4","4","5","4","5","4","4","4","4","5","4","5","4","5","5","5","4","5","4","5","4","5","4","5","5","4","5","5","4","5","5","5","5","5","4","4","2","4","4","4","5","4","4","5","4","5","4","4","5","4","4","4","5","5","4","5","5","4","4","4","5","5","4","4","4","4","5","2","4","5","5","5","4","5","4","4","4","5","5","4","5","4","5","4","4","4","5","4","4","5","3","4","2","3","4","4","5","4","2","2","4","2","4","2","4","2",NA,NA,"20","Female","Asian","sona"
"Not Disclosed",155,"6,15,16,35,30","6","15","16","35","30","5","3","2","5","5","5","5","5","5","4","5","4","3","4","4","5","4","3","5","4","4","5","4","3","5","4","5","4","5","4","5","4","4","5","5","5","5","5","5","5","5","4","4","5","5","5","5","3","5","5","5","5","5","4","5","5","5","3","5","5","5","5","4","5","5","5","5","5","5","5","5","4","4","5","4","5","5","4","5","5","5","5","5","5","5","5","5","4","5","5","1","4","5","3","2","5","3","4","3","5","4","3","2","3","5","2","3","1","4","4","2",NA,NA,"24","Female","White","sona"
"Not Disclosed",156,"6,13,30,31,23","6","13","30","31","23","4","4","5","5","4","4","4","3","5","3","4","3","4","3","4","4","5","2","4","4","4","5","5","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","4","5","4","2","4","5","5","5","3","5","4","5","5","5","4","5","5","5","3","5","5","4","4","5","4","5","5","5","4","5","4","5","2","4","5","4","3","5","5","5","5","4","5","5","4","5","5","5","4","5","5","1","1","5","1","2","5","1","5","5","5","1","1","1","1","5","1","1","1","5","4","2",NA,NA,"21","Female","White","sona"
"Disclosed",157,"9,13,17,22,23","9","13","17","22","23","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","4","3","5","5","5","5","5","5","5","5","5","3","4","5","5","5","5","5","1","5","4","5","5","3","4","1","2","4","5","5","4","5","2","4","4","5","3","5","1","15-Oct","6","20","Male","White","sona"
"Not Disclosed",158,"19,35,28,29,30","19","35","28","29","30","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","2","5","5","5","5","5","5","5","5","5","5","3","5","4","5","4","4","4","4","5","5","5","5","4","4","5","4","5","5","5","4","5","5","5","4","5","5","4","5","5","3","4","5","4","5","5","5","5","5","4","4","5","3","3","5","5","5","2","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","5","3","5","1","1","1","4","5","5","5","1","5","5","5","1","1","1","0","2","21","Female","White","sona"
"Not Disclosed",159,"6,11,12,28,29","6","11","12","28","29","5","4","5","5","4","5","4","4","5","4","4","4","5","4","4","4","4","4","5","5","4","4","4","4","4","4","5","4","5","4","4","4","5","5","4","5","4","4","4","4","4","4","4","4","4","3","5","4","4","5","4","4","4","4","4","4","5","4","4","4","4","3","4","4","4","4","5","4","5","4","4","2","4","4","4","2","4","4","4","4","4","3","4","3","4","5","5","4","4","4","4","4","5","4","4","4","4","3","2","3","4","4","5","5","3","3","4","5","2","3","2",NA,NA,"22","Male","Mixed","sona"
"Not Disclosed",160,"9,22,27,29,30","9","22","27","29","30","2","4","4","2","2","4","2","2","2","2","2","2","4","2","4","4","4","2","2","4","2","2","4","4","2","2","2","2","2","2","4","2","4","4","2","4","2","2","2","2","2","2","2","2","4","3","2","4","2","2","2","2","4","2","2","2","2","2","4","2","4","4","4","2","2","2","2","4","4","2","2","2","2","4","2","4","4","2","2","2","4","4","4","4","4","2","2","4","4","4","2","4","4","4","4","3","3","2","2","2","4","4","3","4","2","4","4","4","3","2","2",NA,NA,"21","Other","White","sona"
"Not Disclosed",161,"1,5,7,12,22","1","5","7","12","22","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","3","5","3","4","3","4","3","3","3","4","5","1","4","3","1","4","1","3","5","2",NA,NA,"21","Male","Black","sona"
"Disclosed",162,"12,18,19,35,29","12","18","19","35","29","5","4","4","5","5","5","5","5","5","5","5","1","5","5","4","4","5","4","5","5","5","5","5","5","5","5","5","1","5","4","5","4","4","5","5","5","5","5","5","5","5","1","5","5","5","4","5","2","5","5","5","5","5","4","5","5","5","1","5","4","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","5","1","2","5","1","4","4","1","5","5","5","1","2","4","2","5","4","1","1","5","5","1","3","5","20","Female","White","sona"
"Disclosed",163,"9,13,15,22,30","9","13","15","22","30","2","5","2","5","5","4","5","4","5","3","4","2","2","3","4","2","2","2","5","4","4","4","4","4","5","5","5","2","2","2","4","2","5","5","4","4","5","4","5","4","5","2","2","2","5","2","2","2","5","4","2","4","5","5","4","5","5","2","2","4","2","2","4","5","5","4","4","4","4","4","4","2","2","2","4","2","1","2","4","4","2","5","4","5","5","5","4","2","2","2","1","4","2","3","4","3","1","1","2","2","4","3","1","4","1","2","1","2","2","2","1","30","6","21","Female","White","sona"
"Not Disclosed",164,"5,9,13,15,18","5","9","13","15","18","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","4","3","3","5","2","1","3","4","3","3","3","5","5","4","4","3","1","4","3","1","0","2","23","Female","White","sona"
"Disclosed",165,"20,26,27,29,30","20","26","27","29","30","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","3","4","5","2","3","1","3","4","4","3","2","3","3","3","2","3","2","1","30","7","18","Female","White","sona"
"Not Disclosed",166,"7,18,24,31,32","7","18","24","31","32","3","4","5","5","5","5","4","4","3","4","5","4","5","5","4","5","5","4","5","4","5","4","5","4","5","5","4","5","4","4","4","4","4","3","5","4","5","4","5","5","5","5","5","5","4","3","4","5","4","5","3","5","4","5","5","5","4","5","5","5","4","4","5","5","4","4","5","5","4","4","4","4","4","4","4","5","5","3","4","5","4","5","5","3","5","5","4","3","4","4","4","4","5","3","3","4","2","4","4","5","4","2","1","3","4","1","4","4","4","3","1","2 years","6","22","Female","Mixed","sona"
"Not Disclosed",167,"7,9,11,15,28","7","9","11","15","28","2","3","3","5","4","5","5","4","5","4","5","2","3","2","3","3","3","2","5","3","3","2","3","3","4","4","5","2","3","3","2","4","5","5","4","3","5","4","4","2","5","2","2","3","4","2","5","2","5","4","4","2","2","3","4","5","5","5","3","1","2","3","3","5","5","4","4","3","5","2","4","1","2","3","3","3","3","3","5","2","4","1","2","3","4","4","4","2","2","1","2","3","2","1","3","3","1","2","2","3","3","2","2","4","3","2","1","2","3","3","2",NA,NA,"19","Female","White","sona"
"Not Disclosed",168,"11,13,27,30,31","11","13","27","30","31","3","3","3","4","4","4","4","4","3","3","3","4","3","3","4","5","4","3","5","3","5","3","4","2","5","3","3","5","5","4","1","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","3","4","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","3","3","5","4","2","4","4","4","4","4","1","4","4","4","3","3","3","3","1","0","2","21","Male","Mixed","sona"
"Disclosed",169,"15,26,28,30,23","15","26","28","30","23","4","4","2","5","5","5","4","5","5","5","5","3","4","4","4","5","5","2","5","5","4","5","5","5","5","5","5","4","5","4","5","4","1","5","5","5","5","5","5","5","5","4","5","5","5","4","5","1","5","5","5","5","5","4","5","5","5","1","5","5","5","5","1","5","5","5","5","4","5","5","5","2","4","5","4","5","5","5","5","5","5","5","5","4","4","5","5","4","5","4","1","4","3","4","4","4","4","2","4","4","5","5","2","5","2","4","2","2","2","4","1","0","5","22","Male","White","sona"
"Not Disclosed",170,"9,22,29,30,31","9","22","29","30","31","3","2","3","4","2","4","3","4","4","3","4","3","3","2","3","2","3","4","3","3","3","4","3","3","4","4","4","3","4","2","4","4","4","4","4","5","5","5","5","5","4","4","4","4","5","4","4","4","5","4","4","4","4","4","5","5","5","4","5","4","4","4","4","5","5","4","5","4","5","4","4","5","4","5","5","4","4","5","5","4","4","4","4","4","5","5","4","5","5","4","3","3","3","3","5","2","3","3","3","3","4","4","3","4","4","3","3","3","2","3","1","30","6","21","Female","White","sona"
"Disclosed",171,"6,9,13,22,23","6","9","13","22","23","4","4","4","4","4","3","4","3","3","3","4","4","4","4","4","4","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","5","5","3","4","4","3","4","3","4","4","4","4","3","4","3","4","4","4","4","3","2","4","4","3","4","4","5","4","4","3","3","4","4","4","2","4","4","4","4","2","4","3","3","5","4","2","1","2","3","4","3","2","4","1","4","4","3","2","2","1","0","3","21","Female","White","sona"
"Not Disclosed",172,"5,6,14,21,22","5","6","14","21","22","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","3","5","5","3","5","5","5","5","3","5","3","5","5","5","5","5","5","5","5","5","3","5","5","3","4","3","3","4","5","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","3","3","3","4","4","3","4","2","4","3","4","1","5","4","4","4","1","3","3","1","0","6","20","Male","White","sona"
"Disclosed",173,"11,16,35,24,29","11","16","35","24","29","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","3","4","5","5","3","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","3","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","5","5","5","5","5","5","5","1","2","3","1","4","4","3","1","2","4","3","4","3","5","1","1","2","4","3","2","1","15","5","20","Female","White","sona"
"Not Disclosed",174,"20,26,28,30,23","20","26","28","30","23","2","3","3","3","3","4","4","2","4","4","3","4","2","4","4","5","4","2","4","4","3","3","4","3","4","5","4","1","2","4","1","4","2","3","3","2","3","3","4","4","4","1","2","2","3","4","2","4","4","2","2","4","4","4","5","4","4","3","4","3","1","3","4","3","3","4","2","4","4","4","4","1","2","4","3","4","2","4","4","1","2","5","4","5","4","5","3","2","5","4","1","4","5","4","4","4","2","4","2","5","4","2","2","4","2","4","1","1","4","2","1","0","2","22","Male","White","sona"
"Disclosed",175,"9,13,21,22,31","9","13","21","22","31","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","3","5","5","5","5","5","2","4","2","3","3","3","3","3","2","2","3","3","2","4","1","2","3","3","1","2","2",NA,NA,"19","Female","Black","sona"
"Not Disclosed",176,"1,6,9,13,15","1","6","9","13","15","4","4","4","5","4","5","4","2","4","5","5","5","5","4","2","4","5","1","4","4","5","1","5","4","4","2","5","4","4","1","4","5","5","5","5","5","5","1","5","5","5","1","5","5","4","4","4","1","5","4","4","1","1","1","5","5","5","5","5","1","4","4","4","5","5","5","5","1","4","4","4","5","1","2","5","1","5","4","5","4","5","1","1","2","5","5","4","2","5","2","3","4","3","3","4","3","2","3","3","3","3","4","3","3","2","3","3","2","3","3","2",NA,NA,"20","Female","White","sona"
"Disclosed",177,"6,22,26,29,23","6","22","26","29","23","4","5","4","4","5","4","4","4","4","5","5","4","4","4","5","4","4","4","4","4","5","4","4","4","4","5","5","5","4","4","5","5","5","4","4","4","5","5","5","5","5","4","5","5","4","4","5","5","5","4","4","5","4","4","4","5","4","4","3","5","4","4","4","4","5","4","4","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","4","4","5","4","5","4","4","5","2","5","4","5","5","5","5","3","3","4","4","5","5","5","3","3","5","5","3","5","1","Daily","6","21","Male","White","sona"
"Disclosed",178,"15,19,24,25,23","15","19","24","25","23","5","5","2","5","5","5","4","4","5","5","5","1","4","2","5","5","4","4","5","5","4","5","5","4","5","5","5","4","5","4","5","2","1","5","5","5","5","4","5","4","5","1","2","4","4","5","2","1","5","5","5","5","5","2","5","4","5","3","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","3","2","2","5","3","2","2","2","4","4","4","2","4","3","2","1","1","4","4","1","0","6","21","Female","White","sona"
"Not Disclosed",179,"6,12,17,29,30","6","12","17","29","30","5","5","5","5","5","5","5","5","5","1","1","1","5","5","5","5","5","4","5","5","1","3","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","1","1","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5","3","5","5","4","5","5","5","5","5","5","5","1","1","1","4","5","5","5","5","4","5","5","1","2","5","5","5","5","5","5","3","5","5","3","5","4","5","2","4","3","5","2","4","3","5","5","4","4","4","3","4","3","1","30","6","20","Female","White","sona"
"Not Disclosed",180,"6,7,14,27,32","6","7","14","27","32","5","4","3","5","4","5","5","4","5","5","5","1","5","5","4","4","4","1","5","5","3","4","5","5","4","5","4","5","4","3","4","4","4","5","4","5","4","4","5","4","4","2","3","2","3","4","1","3","5","5","4","4","5","5","5","5","5","5","4","4","5","5","4","5","5","5","5","4","5","5","5","2","4","5","4","5","5","3","4","3","4","3","5","5","3","5","5","5","5","3","2","2","3","3","5","5","3","4","4","4","4","4","1","5","4","1","2","3","1","2","1","1","4","26","Female","Mixed","sona"
"Disclosed",181,"4,6,7,9,25","4","6","7","9","25","5","5","5","4","5","4","5","3","5","5","5","3","5","4","5","4","5","1","5","5","5","2","3","4","4","5","5","2","5","3","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","2","5","5","5","5","5","2","4","5","5","4","5","1","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","2","5","5","5","5","5","5","5","5","1","1","5","1","4","2","1","5","4","4","3","1","1","3","5","2","1","1","5","3","1","2","4","21","Female","Other","sona"
